BTC-USD,Bitcoin USD
ETH-USD,Ethereum USD
USDT-USD,Tether USD
BNB-USD,BNB USD
USDC-USD,USD Coin USD
XRP-USD,XRP USD
ADA-USD,Cardano USD
STETH-USD,Lido Staked ETH USD
DOGE-USD,Dogecoin USD
MATIC-USD,Polygon USD
SOL-USD,Solana USD
WTRX-USD,Wrapped TRON USD
TRX-USD,TRON USD
LTC-USD,Litecoin USD
DOT-USD,Polkadot USD
BUSD-USD,Binance USD USD
SHIB-USD,Shiba Inu USD
AVAX-USD,Avalanche USD
DAI-USD,Dai USD
WBTC-USD,Wrapped Bitcoin USD
LINK-USD,Chainlink USD
LEO-USD,UNUS SED LEO USD
ATOM-USD,Cosmos USD
UNI7083-USD,Uniswap USD
XMR-USD,Monero USD
OKB-USD,OKB USD
ETC-USD,Ethereum Classic USD
XLM-USD,Stellar USD
TON11419-USD,Toncoin USD
HEX-USD,HEX USD
BCH-USD,Bitcoin Cash USD
ICP-USD,Internet Computer USD
CNX-USD,Cryptonex USD
TUSD-USD,TrueUSD USD
FIL-USD,Filecoin USD
LDO-USD,Lido DAO USD
APT21794-USD,Aptos USD
WHBAR-USD,Wrapped HBAR USD
HBAR-USD,Hedera USD
ARB11841-USD,Arbitrum USD
CRO-USD,Cronos USD
NEAR-USD,NEAR Protocol USD
VET-USD,VeChain USD
BTCB-USD,Bitcoin BEP2 USD
QNT-USD,Quant USD
APE18876-USD,ApeCoin USD
ALGO-USD,Algorand USD
GRT6719-USD,The Graph USD
SAND-USD,The Sandbox USD
WEOS-USD,Wrapped EOS USD
USDP-USD,Pax Dollar USD
FRAX-USD,Frax USD
EOS-USD,EOS USD
RNDR-USD,Render Token USD
AAVE-USD,Aave USD
WBNB-USD,Wrapped BNB USD
FTM-USD,Fantom USD
BIT11221-USD,BitDAO USD
EGLD-USD,MultiversX USD
CFX-USD,Conflux USD
RPL-USD,Rocket Pool USD
MANA-USD,Decentraland USD
THETA-USD,Theta Network USD
XTZ-USD,Tezos USD
STX4847-USD,Stacks USD
AXS-USD,Axie Infinity USD
FLOW-USD,Flow USD
NEO-USD,Neo USD
USDD-USD,USDD USD
KCS-USD,KuCoin Token USD
WKAVA-USD,Wrapped Kava USD
XRD-USD,Radix USD
CHZ-USD,Chiliz USD
CRV-USD,Curve DAO Token USD
IMX10603-USD,Immutable USD
BGB-USD,Bitget Token USD
SNX-USD,Synthetix USD
BSV-USD,Bitcoin SV USD
KAVA-USD,Kava USD
MKR-USD,Maker USD
TNC5524-USD,TNC Coin USD
FGC-USD,FantasyGold USD
KLAY-USD,Klaytn USD
GUSD-USD,Gemini Dollar USD
BTT-USD,BitTorrent(New) USD
BTTOLD-USD,BitTorrent USD
PEPE24478-USD,Pepe USD
CSPR-USD,Casper USD
MIOTA-USD,IOTA USD
INJ-USD,Injective USD
OP-USD,Optimism USD
ZEC-USD,Zcash USD
SUI20947-USD,Sui USD
HT-USD,Huobi Token USD
MINA-USD,Mina USD
PAXG-USD,PAX Gold USD
LUNC-USD,Terra Classic USD
FXS-USD,Frax Share USD
XEC-USD,eCash USD
GMX11857-USD,GMX USD
