Price,Close,High,Low,Open,Volume
Ticker,ABT,ABT,ABT,ABT,ABT
Date,,,,,
2025-01-02,112.84780883789062,113.36509092983532,112.17135835484501,113.09650375681082,3569100
2025-01-03,113.23577880859375,113.63369221963585,112.68864691971498,113.34520518636951,4416700
2025-01-06,112.44989776611328,113.66353020977469,112.2012028420701,112.91744543764516,6037200
2025-01-07,112.80802154541016,114.09128829244982,112.57921887084792,112.77817936819919,5300100
2025-01-08,113.65357971191406,113.71326406472068,111.67397025163862,112.94728704195784,4455800
2025-01-10,111.72370910644531,113.2457208798157,111.20642698598253,113.17608660226175,5108700
2025-01-13,112.59912109375,112.79807400573672,111.39543852022597,112.01219710112508,4409700
2025-01-14,112.43000030517578,113.21587719255824,111.70381536173437,112.96718226324354,3972400
2025-01-15,111.0999984741211,112.76000213623047,110.86000061035156,112.1500015258789,6543700
2025-01-16,113.91000366210938,113.94999694824219,111.0199966430664,111.0199966430664,5598700
2025-01-17,113.4800033569336,114.79000091552734,113.38999938964844,113.62000274658203,6459800
2025-01-21,116.79000091552734,116.9000015258789,114.13999938964844,114.25,8486300
2025-01-22,117.77999877929688,119.94000244140625,113.5,114.12999725341797,13200700
2025-01-23,123.22000122070312,123.2300033569336,117.77999877929688,118.12999725341797,13089400
2025-01-24,125.02999877929688,125.66999816894531,122.18000030517578,122.58999633789062,9960200
2025-01-27,129.42999267578125,129.75999450683594,125.47000122070312,126.7300033569336,11845100
2025-01-28,127.38999938964844,129.85000610351562,126.66999816894531,129.75,11948500
2025-01-29,127.86000061035156,129.3000030517578,127.62999725341797,128.16000366210938,7609800
2025-01-30,128.80999755859375,129.19000244140625,127.19000244140625,127.98999786376953,6340400
2025-01-31,127.93000030517578,128.75999450683594,127.68000030517578,128.3699951171875,7129400
2025-02-03,128.4499969482422,128.9499969482422,126.01000213623047,126.6500015258789,5720600
2025-02-04,129.10000610351562,129.1999969482422,126.0,126.44000244140625,6957400
2025-02-05,132.05999755859375,132.5,128.9499969482422,129.42999267578125,8680100
