Price,Close,High,Low,Open,Volume
Ticker,ALB,ALB,ALB,ALB,ALB
Date,,,,,
2025-01-02,85.2300033569336,87.98999786376953,84.41000366210938,86.44000244140625,1866100
2025-01-03,87.79000091552734,88.26000213623047,85.19000244140625,86.0,2626700
2025-01-06,90.19000244140625,93.05999755859375,89.5,89.98999786376953,2319600
2025-01-07,89.9800033569336,91.7300033569336,89.0,91.0,1653500
2025-01-08,87.37999725341797,88.80999755859375,86.6500015258789,88.80999755859375,1553800
2025-01-10,86.52999877929688,87.37999725341797,84.87999725341797,85.69999694824219,1691100
2025-01-13,91.51000213623047,91.51000213623047,85.73999786376953,86.04000091552734,2824600
2025-01-14,92.62999725341797,94.69999694824219,91.54000091552734,92.6500015258789,1890700
2025-01-15,95.1500015258789,96.75,94.08999633789062,94.66000366210938,2289000
2025-01-16,94.31999969482422,94.8499984741211,92.87999725341797,94.68000030517578,2082700
2025-01-17,97.48999786376953,99.06999969482422,95.20999908447266,95.41000366210938,2049500
2025-01-21,94.05000305175781,97.0999984741211,93.88999938964844,97.0999984741211,1921600
2025-01-22,90.25,93.5,90.20999908447266,93.41000366210938,2427200
2025-01-23,89.80000305175781,90.9000015258789,88.9000015258789,90.0,2775600
2025-01-24,88.76000213623047,91.41000366210938,88.47000122070312,90.83999633789062,2297500
2025-01-27,88.77999877929688,88.83000183105469,87.16999816894531,88.22000122070312,3132200
2025-01-28,85.9000015258789,88.36000061035156,85.12999725341797,88.20999908447266,1888400
2025-01-29,86.27999877929688,87.30000305175781,85.44999694824219,86.33000183105469,1678800
2025-01-30,85.6500015258789,87.19000244140625,84.9000015258789,87.11000061035156,1929700
2025-01-31,84.19000244140625,86.02999877929688,83.08000183105469,85.66999816894531,2786500
2025-02-03,80.44999694824219,82.27999877929688,79.66000366210938,81.51000213623047,3322000
2025-02-04,82.4800033569336,83.44999694824219,80.66999816894531,81.0999984741211,2446900
2025-02-05,79.87999725341797,81.75,79.05999755859375,80.01000213623047,2619500
