Price,Close,High,Low,Open,Volume
Ticker,ALLE,ALLE,ALLE,ALLE,ALLE
Date,,,,,
2025-01-02,128.58999633789062,131.8800048828125,128.36000061035156,131.47000122070312,523400
2025-01-03,130.17999267578125,130.44000244140625,128.10000610351562,129.07000732421875,597300
2025-01-06,129.1199951171875,131.2899932861328,128.63999938964844,130.41000366210938,778200
2025-01-07,127.41999816894531,129.50999450683594,126.88999938964844,129.0500030517578,902900
2025-01-08,128.39999389648438,128.77000427246094,126.33000183105469,126.62000274658203,1077100
2025-01-10,126.20999908447266,128.0,126.02999877929688,127.12000274658203,741500
2025-01-13,128.25999450683594,128.3000030517578,125.26000213623047,125.72000122070312,828000
2025-01-14,129.75,130.1199951171875,128.47000122070312,128.8699951171875,469500
2025-01-15,130.92999267578125,132.92999267578125,129.9199981689453,132.50999450683594,641100
2025-01-16,132.6199951171875,132.85000610351562,130.6199951171875,130.6999969482422,552500
2025-01-17,133.58999633789062,134.0800018310547,132.58999633789062,133.5800018310547,592900
2025-01-21,135.07000732421875,136.27999877929688,134.47000122070312,134.6699981689453,610100
2025-01-22,132.17999267578125,135.2899932861328,131.72999572753906,134.47999572753906,898800
2025-01-23,133.25,133.4199981689453,131.3699951171875,132.38999938964844,704300
2025-01-24,132.52999877929688,133.75,132.1999969482422,133.41000366210938,603800
2025-01-27,135.5,135.5800018310547,132.58999633789062,132.8300018310547,962400
2025-01-28,132.11000061035156,135.4600067138672,132.07000732421875,134.8300018310547,640100
2025-01-29,131.0,132.6300048828125,130.8800048828125,131.91000366210938,624600
2025-01-30,133.52000427246094,134.3800048828125,131.60000610351562,131.72999572753906,565800
2025-01-31,132.72999572753906,134.94000244140625,132.3800048828125,133.52000427246094,862600
2025-02-03,128.72999572753906,129.97999572753906,127.0,129.4199981689453,1033400
2025-02-04,128.49000549316406,129.94000244140625,128.36000061035156,128.8300018310547,877400
2025-02-05,129.07000732421875,129.52000427246094,127.80999755859375,129.52000427246094,990600
