Price,Close,High,Low,Open,Volume
Ticker,AVGO,AVGO,AVGO,AVGO,AVGO
Date,,,,,
2025-01-02,231.97999572753906,239.5,230.24000549316406,236.16000366210938,31525800
2025-01-03,232.5500030517578,236.49000549316406,229.0,233.58999633789062,24973200
2025-01-06,236.41000366210938,241.75,233.3000030517578,236.5,34028400
2025-01-07,228.63999938964844,239.5,227.60000610351562,239.5,25928600
2025-01-08,229.30999755859375,232.47000122070312,226.05999755859375,229.6999969482422,18756500
2025-01-10,224.30999755859375,227.8300018310547,221.25,227.3000030517578,23864000
2025-01-13,225.2899932861328,229.25999450683594,219.50999450683594,219.99000549316406,23772100
2025-01-14,224.6999969482422,230.25999450683594,223.10000610351562,226.57000732421875,18143100
2025-01-15,228.0,230.33999633789062,225.5800018310547,228.5500030517578,21745600
2025-01-16,229.41000366210938,238.60000610351562,229.2100067138672,235.22000122070312,23471900
2025-01-17,237.44000244140625,238.10000610351562,232.66000366210938,237.0800018310547,31196600
2025-01-21,240.30999755859375,242.75,237.39999389648438,241.5,30903200
2025-01-22,240.91000366210938,246.99000549316406,240.69000244140625,246.75,29610500
2025-01-23,240.27999877929688,240.39999389648438,236.1199951171875,238.41000366210938,17653900
2025-01-24,244.6999969482422,249.58999633789062,241.91000366210938,244.6999969482422,25387800
2025-01-27,202.1300048828125,218.42999267578125,196.22999572753906,213.39999389648438,90569400
2025-01-28,207.36000061035156,209.9499969482422,198.88999938964844,208.00999450683594,50316000
2025-01-29,206.35000610351562,211.4499969482422,202.77000427246094,208.83999633789062,32533700
2025-01-30,215.66000366210938,221.9600067138672,213.6999969482422,218.57000732421875,42449500
2025-01-31,221.27000427246094,226.8000030517578,216.3000030517578,219.66000366210938,41151000
2025-02-03,217.72999572753906,220.94000244140625,213.50999450683594,215.4600067138672,24507300
2025-02-04,222.42999267578125,223.02999877929688,215.3000030517578,219.35000610351562,23768500
2025-02-05,232.0,237.92999267578125,227.5,233.94000244140625,29196000
