Price,Close,High,Low,Open,Volume
Ticker,AWK,AWK,AWK,AWK,AWK
Date,,,,,
2025-01-02,123.86000061035156,125.7699966430664,123.68000030517578,125.61000061035156,719100
2025-01-03,123.7699966430664,125.12000274658203,123.6500015258789,124.05000305175781,728500
2025-01-06,121.97000122070312,123.04000091552734,120.73999786376953,122.94000244140625,1044300
2025-01-07,121.62999725341797,123.23999786376953,121.22000122070312,122.33000183105469,759100
2025-01-08,122.61000061035156,122.70999908447266,119.70999908447266,120.88999938964844,972700
2025-01-10,121.12000274658203,122.83000183105469,120.91999816894531,121.75,1309000
2025-01-13,121.01000213623047,121.87000274658203,118.73999786376953,121.37000274658203,1548100
2025-01-14,122.5199966430664,122.73999786376953,121.04000091552734,121.1500015258789,773300
2025-01-15,123.52999877929688,125.02999877929688,122.66000366210938,124.5999984741211,1278900
2025-01-16,126.36000061035156,126.4000015258789,122.80000305175781,123.23999786376953,970600
2025-01-17,126.5999984741211,127.44000244140625,125.83999633789062,126.06999969482422,1003200
2025-01-21,126.33000183105469,128.38999938964844,126.0,127.18000030517578,1036100
2025-01-22,121.68000030517578,126.80000305175781,121.5,125.95999908447266,1289400
2025-01-23,121.80999755859375,121.9000015258789,120.62999725341797,121.69000244140625,1202000
2025-01-24,121.62999725341797,122.43000030517578,121.30000305175781,121.5,786300
2025-01-27,129.9499969482422,130.22000122070312,122.58999633789062,122.72000122070312,2271400
2025-01-28,126.33000183105469,128.7899932861328,125.69999694824219,128.14999389648438,1417900
2025-01-29,124.25,127.05000305175781,123.47000122070312,126.54000091552734,890500
2025-01-30,123.66000366210938,125.98999786376953,122.88999938964844,125.13999938964844,1646100
2025-01-31,124.63999938964844,124.95999908447266,123.33000183105469,123.66000366210938,1073000
2025-02-03,125.76000213623047,126.44999694824219,123.5,124.33999633789062,1112000
2025-02-04,123.8499984741211,124.91999816894531,123.26000213623047,124.75,1353400
2025-02-05,123.61000061035156,125.0,123.0999984741211,124.7300033569336,889700
