Price,Close,High,Low,Open,Volume
Ticker,BIIB,BIIB,BIIB,BIIB,BIIB
Date,,,,,
2025-01-02,150.0,154.1199951171875,149.83999633789062,153.83999633789062,1097100
2025-01-03,152.2100067138672,152.97000122070312,149.72999572753906,149.72999572753906,1188700
2025-01-06,153.27000427246094,153.60000610351562,151.6199951171875,151.92999267578125,1319800
2025-01-07,153.14999389648438,156.3699951171875,152.89999389648438,153.11000061035156,1110300
2025-01-08,150.75,152.82000732421875,150.07000732421875,152.27000427246094,1038700
2025-01-10,148.82000732421875,150.1999969482422,147.64999389648438,149.17999267578125,1256300
2025-01-13,150.17999267578125,150.47999572753906,145.82000732421875,148.9199981689453,1142800
2025-01-14,143.05999755859375,150.22000122070312,142.4199981689453,149.9199981689453,1710000
2025-01-15,141.0,146.14999389648438,140.8699951171875,145.4600067138672,1557600
2025-01-16,141.22999572753906,142.38999938964844,140.0500030517578,140.49000549316406,1198700
2025-01-17,140.5500030517578,143.5,140.05999755859375,143.1300048828125,1149900
2025-01-21,140.97999572753906,142.08999633789062,140.58999633789062,141.0,1183500
2025-01-22,142.75,143.14999389648438,139.7100067138672,140.75,1082700
2025-01-23,143.6699981689453,143.77000427246094,139.8300018310547,143.13999938964844,1466000
2025-01-24,146.1999969482422,146.3300018310547,141.97999572753906,143.4499969482422,1302700
2025-01-27,148.75999450683594,149.6699981689453,146.5500030517578,146.5500030517578,1662700
2025-01-28,145.49000549316406,148.5500030517578,145.0800018310547,148.2899932861328,1301700
2025-01-29,144.41000366210938,147.3800048828125,143.33999633789062,145.10000610351562,1484400
2025-01-30,146.22999572753906,147.63999938964844,145.24000549316406,145.83999633789062,1110800
2025-01-31,143.92999267578125,147.39999389648438,143.6300048828125,145.1999969482422,1402200
2025-02-03,142.33999633789062,144.5,141.63999938964844,142.80999755859375,1110600
2025-02-04,142.49000549316406,143.97999572753906,141.07000732421875,141.0800018310547,1055800
2025-02-05,145.52999877929688,147.0,142.63999938964844,142.89999389648438,1173500
