Price,Close,High,Low,Open,Volume
Ticker,BLK,BLK,BLK,BLK,BLK
Date,,,,,
2025-01-02,1017.4000244140625,1032.0999755859375,1012.0,1030.0,604500
2025-01-03,1020.8300170898438,1024.0,1010.0,1022.1699829101562,469000
2025-01-06,1012.739990234375,1029.4100341796875,1011.489990234375,1025.6500244140625,616200
2025-01-07,980.760009765625,1012.0,978.25,1011.0,970500
2025-01-08,986.0999755859375,990.2899780273438,976.0499877929688,980.239990234375,778500
2025-01-10,955.6400146484375,982.0499877929688,948.1599731445312,979.7899780273438,908200
2025-01-13,955.010009765625,957.25,943.3400268554688,946.25,794100
2025-01-14,963.1699829101562,969.5999755859375,958.0399780273438,964.3200073242188,1058100
2025-01-15,1013.1799926757812,1025.449951171875,991.0,1019.77001953125,1140100
2025-01-16,995.719970703125,1016.5399780273438,982.1799926757812,1016.5399780273438,883800
2025-01-17,1004.9600219726562,1012.8099975585938,997.010009765625,1000.9000244140625,1085800
2025-01-21,1012.0900268554688,1026.949951171875,1003.719970703125,1014.02001953125,671600
2025-01-22,1006.3400268554688,1013.8200073242188,998.25,1012.47998046875,570300
2025-01-23,1017.72998046875,1017.8099975585938,1000.8300170898438,1003.9600219726562,645300
2025-01-24,1020.4500122070312,1026.0,1013.1400146484375,1013.1400146484375,731300
2025-01-27,1029.93994140625,1030.9100341796875,1004.6900024414062,1010.0,662500
2025-01-28,1051.199951171875,1055.719970703125,1027.050048828125,1029.6800537109375,1083000
2025-01-29,1052.6099853515625,1066.8299560546875,1045.31005859375,1047.1099853515625,808600
2025-01-30,1071.52001953125,1078.25,1059.3299560546875,1069.199951171875,532100
2025-01-31,1075.5,1084.219970703125,1068.760009765625,1074.0899658203125,958100
2025-02-03,1013.75,1056.5400390625,1006.6300048828125,1054.47998046875,1502200
2025-02-04,1015.6599731445312,1019.5,1004.0,1011.5399780273438,931100
2025-02-05,1014.5,1027.550048828125,1005.9099731445312,1020.0,710200
